gameid,title,platform,developers,publishers,genres,supported_languages,release_date
701055,Correct Picture,PS4,['Zakym'],['Zakym'],['Puzzle'],,2024-08-24
701054,Correct Picture,PS4,['Zakym'],['Zakym'],['Puzzle'],,2024-08-24
701052,Correct Picture,PS5,['Zakym'],['Zakym'],['Puzzle'],,2024-08-24
701051,Correct Picture,PS5,['Zakym'],['Zakym'],['Puzzle'],,2024-08-24
701050,Correct Picture,PS5,['Zakym'],['Zakym'],['Puzzle'],,2024-08-24
701043,Correct Picture,PS5,['Zakym'],['Zakym'],['Puzzle'],,2024-08-24
701036,A Bibelot: Prototo,PS5,['y-zo studio'],['y-zo studio'],['Action'],,2024-08-23
701019,A Bibelot: Prototo,PS4,['y-zo studio'],['y-zo studio'],['Action'],,2024-08-23
700980,Supermarket Simulator Pro,PS5,['RandomSpin Games'],['RandomSpin Games'],['Simulation'],,2024-08-23
700906,Murder Is Game Over: Streaming Death,PS4,['HitherYon Games'],['Ratalaika Games'],['Adventure'],,2024-08-16
700902,Ariko's Enchanted Forest,PS4,['Aristo Studio'],['Aristo Studio'],['Platformer'],,2024-03-22
700887,Ariko's Enchanted Forest,PS4,['Aristo Studio'],['Aristo Studio'],['Platformer'],,2024-03-22
700878,A Bibelot: Prototo,PS5,['y-zo studio'],['y-zo studio'],['Action'],,2024-08-23
700806,Escape from the Pharaoh's Tomb,PS4,['9Ratones'],['Ratalaika Games'],"['Puzzle', 'Platformer']",,2024-08-09
700805,Escape from the Pharaoh's Tomb,PS5,['9Ratones'],['Ratalaika Games'],"['Puzzle', 'Platformer']",,2024-08-09
700758,A Bibelot: Prototo,PS4,['y-zo studio'],['y-zo studio'],['Action'],,2024-08-23
700727,Roman City Tycoon,PS4,['SimulaMaker'],['SimulaMaker'],"['Simulation', 'Management']",,2024-07-27
700620,Long Yard Run,PS4,['NOSTRA GAMES'],['NOSTRA GAMES'],['Action'],,2024-08-22
700610,Long Yard Run,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Action'],,2024-08-22
700482,Long Yard Run,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Action'],,2024-08-22
700455,Pixicharm - Dinoluship,PS4,['Erdem Sen'],['Erdem Sen'],['Platformer'],,2024-08-23
700386,A Bibelot: Prototo,PS5,['y-zo studio'],['y-zo studio'],['Action'],,2024-08-23
700298,Wheel Riders,PS4,['NOSTRA GAMES'],['NOSTRA GAMES'],['Platformer'],,2024-08-21
700297,Wheel Riders,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Platformer'],,2024-08-21
700263,Long Yard Run,PS4,['NOSTRA GAMES'],['NOSTRA GAMES'],['Action'],,2024-08-22
700262,Long Yard Run,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Action'],,2024-08-22
700245,Rise Eterna War,PS5,"['Makee', 'Beast Games']",['Forever Entertainment'],['Management'],"['Japanese', 'French', 'Spanish', 'German', 'Polish']",2024-08-22
700199,The Line,PS4,['Webnetic'],['Webnetic'],['Visual Novel'],,2024-08-23
700146,Wheel Riders,PS4,['NOSTRA GAMES'],['NOSTRA GAMES'],['Platformer'],,2024-08-21
700145,Wheel Riders,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Platformer'],,2024-08-21
700125,Ariko's Enchanted Forest,PS4,['Aristo Studio'],['Aristo Studio'],['Platformer'],,2024-03-22
700099,Color Recreator,PS4,['Enningture Game Temple'],['Enningture Game Temple'],['Puzzle'],,2024-08-07
700075,Tau Cubis,PS5,['Cube Mandarine'],['Cube Mandarine'],['Tower Defence'],"['Japanese', 'French', 'Chinese (simplified)', 'French (Canada)']",2024-09-10
700042,Arcade Archives THE NINJA KIDS,PS4,['Taito'],['HAMSTER Corporation'],"[""Beat 'em up""]","['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)', 'Spanish (Mexico)', 'French (Canada)']",2024-08-22
699821,Long Yard Run,PS5,['NOSTRA GAMES'],['NOSTRA GAMES'],['Action'],,2024-08-22
699789,SokoPenguin,PS5,"['Vergiu Games', 'eastasiasoft']",['eastasiasoft'],['Puzzle'],,2024-08-28
699788,SokoPenguin,PS4,"['Vergiu Games', 'eastasiasoft']",['eastasiasoft'],['Puzzle'],,2024-08-28
699786,Billy's Game Show,PS5,"['CH757', 'Key']",['Sometimes You'],['Adventure'],,2024-09-04
699785,Billy's Game Show,PS5,"['CH757', 'Key']",['Sometimes You'],['Adventure'],,2024-09-04
699783,Billy's Game Show,PS4,"['CH757', 'Key']",['Sometimes You'],['Adventure'],,2024-09-04
699782,Billy's Game Show,PS4,"['CH757', 'Key']",['Sometimes You'],['Adventure'],,2024-09-04
699780,AKIMBOT,PS5,['Evil Raptor'],['PLAION'],['Platformer'],"['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Russian', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)', 'Polish', 'Portuguese (Brazil)', 'Turkish']",2024-08-29
699631,Herc's Adventures,PS5,['Big Ape Productions'],['Disney Interactive'],['Adventure'],"['Japanese', 'French', 'Spanish', 'German', 'Italian', 'Dutch', 'Portuguese', 'Russian', 'Korean', 'Chinese (traditional)', 'Chinese (simplified)', 'Finnish', 'Swedish', 'Danish', 'Norway', 'Polish', 'Portuguese (Brazil)', 'Turkish', 'Arabic', 'French (Canada)', 'Czech', 'Hungarian', 'Greek', 'Romanian', 'Thai', 'Vietnamese', 'Indonesian']",2023-06-20
